Rank,Realization,Year,Week,RaleighTargetStorageFraction,DurhamTargetStorageFraction,TTR,TTD,TTO,RRR,BBD,Rstor,Dstor
0,0,6,1,0.46,1,0,82.0683,0,0,0,1,1
0,0,6,2,0.5,1,0,69.834,0,0,0,1,1
0,0,6,3,0.5,1,0,70.0387,0,0,0,1,1
0,0,6,4,0.52,1,0,66.4688,0,0,0,0.99903,1
0,0,6,5,0.54,1,0,69.0445,0,0,0,0.995056,1
0,0,6,6,0.54,1,0,68.236,0,0,0,0.996091,1
0,0,6,7,0.56,1,0,63.272,0,0,0,0.994831,1
0,0,6,8,0.58,1,0,59.8553,0,0,0,0.994858,1
0,0,6,9,0.58,1,0,58.1648,0,0,0,0.995377,1
0,0,6,10,0.58,1,0,52.7392,0,0,0,0.993766,1
0,0,6,11,0.6,1,0,29.4337,0,0,0,0.995581,1
0,0,6,12,0.6,1,0,66.0438,0,0,0,1,1
0,0,6,13,0.6,1,0,47.0208,0,0,0,1,1
0,0,6,14,0.66,1,0,50.1176,0,0,0,1,1
0,0,6,15,0.66,1,0,49.8146,0,0,0,1,1
0,0,6,16,0.72,1,0,30.0306,0,0,0,1,1
0,0,6,17,0.74,1,0,28.5473,0,0,0,1,1
0,0,6,18,0.76,1,0,25.6316,0,0,0,1,1
0,0,6,19,0.76,1,0,51.9548,0,0,0,1,1
0,0,6,20,0.76,1,0,0,0,0,0,1,1
0,0,6,21,0.76,1,0,5.49818,0,0,0,1,1
0,0,6,22,0.76,1,0,12.9567,0,0,0,1,1
0,0,6,23,0.76,1,0,9.69957,0,0,0,0.976855,1
0,0,6,24,0.74,1,0,31.32,0,0,0,1,1
0,0,6,25,0.72,1,0,0,0,0,0,1,1
0,0,6,26,0.68,1,0,0,0,0,0,1,0.979158
0,0,6,27,0.64,0.96,0,0,0,0,0,1,1
0,0,6,28,0.64,0.92,0,0,0,0,0,1,1
0,0,6,29,0.6,0.9,0,0,0,0,0,1,1
0,0,6,30,0.58,0.86,0,0,0,0,0,0.99697,1
0,0,6,31,0.56,0.82,0,0,0,0,0,0.990252,1
0,0,6,32,0.54,0.78,0,0,0,0,0,0.98332,1
0,0,6,33,0.52,0.76,0,0,0,0,0,0.971258,0.984765
0,0,6,34,0.52,0.74,0,0,0,0,0,0.941179,0.956918
0,0,6,35,0.5,0.72,0,0,0,0,0,0.926818,0.927919
0,0,6,36,0.5,0.7,0,0,0,0,0,0.972479,1
0,0,6,37,0.48,0.66,0,0,0,0,0,0.979006,1
0,0,6,38,0.46,0.62,0,0,0,0,0,0.983537,1
0,0,6,39,0.44,0.6,0,0,0,0,0,0.981593,1
0,0,6,40,0.44,0.56,0,0,0,0,0,1,1
0,0,6,41,0.44,0.52,0,0,0,0,0,1,1
0,0,6,42,0.42,0.48,0,0,0,0,0,0.999391,1
0,0,6,43,0.42,0.46,0,0,0,0,0,1,1
0,0,6,44,0.42,0.46,0,0,0,0,0,1,1
0,0,6,45,0.42,0.42,0,0,0,0,0,1,1
0,0,6,46,0.42,0.4,0,0,0,0,0,1,1
0,0,6,47,0.4,0.36,0,0,0,0,0,1,1
0,0,6,48,0.44,0.34,0,0,0,0,0,1,1
0,0,6,49,0.44,0.32,0,0,0,0,0,1,1
0,0,6,50,0.44,0.28,0,0,0,0,0,1,1
0,0,6,51,0.46,0.26,0,0,0,0,0,1,1
0,0,6,52,0.46,0.3,0,0,0,0,0,1,1
0,0,7,1,0.5,1,0,65.4142,0,0,0,1,1
0,0,7,2,0.52,1,0,73.3623,0,0,0,1,1
0,0,7,3,0.52,1,0,68.4907,0,0,0,1,1
0,0,7,4,0.54,1,0,57.9213,0,0,0,1,1
0,0,7,5,0.56,1,0,59.0071,0,0,0,1,1
0,0,7,6,0.56,1,0,44.046,0,0,0,1,1
0,0,7,7,0.58,1,0,53.9007,0,0,0,1,1
0,0,7,8,0.6,1,0,73.8109,0,0,0,1,1
0,0,7,9,0.6,1,0,52.8342,0,0,0,1,1
0,0,7,10,0.6,1,0,48.4856,0,0,0,1,1
0,0,7,11,0.62,1,0,43.3609,0,0,0,1,1
0,0,7,12,0.62,1,0,45.3607,0,0,0,1,1
0,0,7,13,0.62,1,0,54.5333,0,0,0,1,1
0,0,7,14,0.68,1,0,65.7005,0,0,0,1,1
0,0,7,15,0.68,1,0,48.0673,0,0,0,1,1
0,0,7,16,0.74,1,0,27.4322,0,0,0,1,1
0,0,7,17,0.76,1,0,26.3429,0,0,0,1,1
0,0,7,18,0.78,1,0,20.3609,0,0,0,1,1
0,0,7,19,0.78,1,0,43.0919,0,0,0,1,1
0,0,7,20,0.78,1,0,17.4107,0,0,0,1,1
0,0,7,21,0.78,1,0,0.994068,0,0,0,0.996701,1
0,0,7,22,0.78,1,0,16.0853,0,0,0,0.977155,1
0,0,7,23,0.78,1,0,0,0,0,0,0.98912,1
0,0,7,24,0.76,1,0,54.457,0,0,0,0.984929,1
0,0,7,25,0.74,1,0,44.114,0,0,0,0.977747,0.995855
0,0,7,26,0.7,1,0,0,0,0,0,0.959692,0.972573
0,0,7,27,0.66,0.98,0,0,0,0,0,0.916008,0.949964
0,0,7,28,0.64,0.96,0,0,0,0,0,0.886404,0.928151
0,0,7,29,0.62,0.92,0,0,0,0,0,0.862534,1
0,0,7,30,0.6,0.88,0,0,0,0,0,0.835821,0.978533
0,0,7,31,0.58,0.84,0,0,0,0,0,0.823918,1
0,0,7,32,0.54,0.8,0,0,0,0,0,0.796072,0.984436
0,0,7,33,0.52,0.78,0,0,0,0,0,0.876749,1
0,0,7,34,0.54,0.76,0,0,0,0,0,0.872941,0.984891
0,0,7,35,0.52,0.74,0,0,0,0,0,0.870088,0.957738
0,0,7,36,0.52,0.7,0,0,0,0,0,0.842396,0.922113
0,0,7,37,0.5,0.68,0,0,0,0,0,0.824718,0.889767
0,0,7,38,0.46,0.64,0,0,0,0,0,0.808397,0.856286
0,0,7,39,0.46,0.6,0,0,0,0,0,0.793157,0.835536
0,0,7,40,0.46,0.56,0,0,0,0,0,0.791821,0.804666
0,0,7,41,0.44,0.54,0,0,0,0,0,0.774917,0.796648
0,0,7,42,0.44,0.5,0,0,0,0,0,0.754569,0.766415
0,0,7,43,0.44,0.48,0,0,0,0,0,0.743983,0.763027
0,0,7,44,0.44,0.46,0,0,0,0,0,0.728605,0.743166
0,0,7,45,0.44,0.44,0,0,0,0,0,0.717028,0.733141
0,0,7,46,0.42,0.4,0,0,0,0,0,0.710043,0.73774
0,0,7,47,0.42,0.38,0,0,0,0,0,0.73521,0.764185
0,0,7,48,0.46,0.34,0,0,0,0,0,0.747775,0.790039
0,0,7,49,0.46,0.32,0,0,0,0,0,0.849944,0.945388
0,0,7,50,0.46,0.34,0,0,0,0,0,0.999481,0.953052
0,0,7,51,0.48,0.34,0,0,0,0,0,1,1
0,0,7,52,0.48,0.3,0,0,0,0,0,1,1
0,0,8,1,0.52,1,0,47.9372,0,0,0,1,1
0,0,8,2,0.54,1,0,61.6083,0,0,0,1,1
0,0,8,3,0.54,1,0,45.5891,0,0,0,1,1
0,0,8,4,0.56,1,0,54.7609,0,0,0,1,1
0,0,8,5,0.56,1,0,77.3857,0,0,0,1,1
0,0,8,6,0.58,1,0,52.3199,0,0,0,1,1
0,0,8,7,0.6,1,0,76.3892,0,0,0,1,1
0,0,8,8,0.62,1,0,41.36,0,0,0,1,1
0,0,8,9,0.62,1,0,52.4821,0,0,0,1,1
0,0,8,10,0.62,1,0,64.2359,0,0,0,1,1
0,0,8,11,0.64,1,0,46.5625,0,0,0,1,1
0,0,8,12,0.64,1,0,31.1431,0,0,0,1,1
0,0,8,13,0.64,1,0,36.3057,0,0,0,1,1
0,0,8,14,0.68,1,0,31.8532,0,0,0,0.988643,1
0,0,8,15,0.7,1,0,45.6032,0,0,0,0.974557,0.99398
0,0,8,16,0.76,1,0,58.3779,0,0,0,0.95997,0.99799
0,0,8,17,0.78,1,0,31.051,0,0,0,0.946693,0.998202
0,0,8,18,0.8,1,0,14.7688,0,0,0,0.932569,1
0,0,8,19,0.8,1,0,10.5862,0,0,0,0.90988,0.992014
0,0,8,20,0.8,1,0,44.6761,0,0,0,0.915198,1
0,0,8,21,0.8,1,0,13.844,0,0,0,0.909161,1
0,0,8,22,0.8,1,0,45.3266,0,0,0,0.909916,1
0,0,8,23,0.8,1,0,0,0,0,0,0.881221,0.978868
0,0,8,24,0.78,1,0,6.45484,0,0,0,0.854036,0.966317
0,0,8,25,0.76,1,0,0,0,0,0,0.823646,0.937705
0,0,8,26,0.72,1,0,33.131,0,0,0,0.786589,0.921672
0,0,8,27,0.68,1,0,0,0,0,0,0.765046,0.900746
0,0,8,28,0.66,0.98,0,0,0,0,0,0.752684,0.889344
0,0,8,29,0.64,0.94,0,7.02607,0,0,0,0.847047,0.98201
0,0,8,30,0.62,0.9,0,0,0,0,0,0.832367,1
0,0,8,31,0.6,0.86,0,0,0,0,0,0.826966,1
0,0,8,32,0.56,0.82,0,0,0,0,0,0.801297,0.993707
0,0,8,33,0.54,0.8,0,0,0,0,0,0.790675,1
0,0,8,34,0.54,0.78,0,0,0,0,0,0.763959,1
0,0,8,35,0.52,0.76,0,0,0,0,0,0.740479,1
0,0,8,36,0.52,0.72,0,0,0,0,0,0.715639,0.970111
0,0,8,37,0.5,0.68,0,0,0,0,0,0.694019,0.93765
0,0,8,38,0.48,0.64,0,0,0,0,0,0.686045,0.896364
0,0,8,39,0.48,0.62,0,0,0,0,0,0.66954,0.884256
0,0,8,40,0.48,0.58,0,0,0,0,0,0.662021,0.860628
0,0,8,41,0.48,0.54,0,0,0,0,0,0.670453,0.850417
0,0,8,42,0.5,0.5,0,0,0,0,0,0.658127,0.837781
0,0,8,43,0.5,0.48,0,0,0,0,0,0.675294,0.856066
0,0,8,44,0.52,0.46,0,0,0,0,0,0.672625,0.894206
0,0,8,45,0.52,0.44,0,0,0,0,0,0.671304,0.980402
0,0,8,46,0.52,0.4,0,0,0,0,0,0.683678,1
0,0,8,47,0.5,0.38,0,0,0,0,0,0.763878,1
0,0,8,48,0.5,0.36,0,0,0,0,0,0.768353,0.998977
0,0,8,49,0.5,0.32,0,0,0,0,0,0.767564,1
0,0,8,50,0.5,0.34,0,0,0,0,0,0.761071,1
0,0,8,51,0.5,0.34,0,0,0,0,0,0.786178,1
0,0,8,52,0.5,0.32,0,0,0,0,0,0.954335,1
0,0,9,1,0.54,1,0,67.8567,0,0,0,0.956075,1
0,0,9,2,0.58,1,0,69.3914,0,0,0,0.954755,1
0,0,9,3,0.6,1,0,58.3127,0,0,0,0.953818,1
0,0,9,4,0.6,1,0,51.5937,0,0,0,0.953235,1
0,0,9,5,0.62,1,0,43.4753,0,0,0,0.954486,1
0,0,9,6,0.64,1,0,40.8488,0,0,0,0.952482,1
0,0,9,7,0.64,1,0,56.5741,0,0,0,0.95391,1
0,0,9,8,0.66,1,0,54.9439,0,0,0,0.952669,1
0,0,9,9,0.66,1,0,46.2308,0,0,0,0.953517,1
0,0,9,10,0.66,1,0,23.0935,0,0,0,0.956503,1
0,0,9,11,0.66,1,0,29.4959,0,0,0,0.961901,1
0,0,9,12,0.66,1,0,44.7542,0,0,0,0.960435,1
0,0,9,13,0.66,1,0,41.8127,0,0,0,0.960762,1
0,0,9,14,0.7,1,0,29.0953,0,0,0,0.959488,1
0,0,9,15,0.72,1,0,14.8891,0,0,0,0.95902,1
0,0,9,16,0.76,1,0,31.5151,0,0,0,0.957641,1
0,0,9,17,0.8,1,0,38.4772,0,0,0,0.957661,1
0,0,9,18,0.82,1,0,44.8516,0,0,0,0.954582,1
0,0,9,19,0.82,1,0,10.8306,0,0,0,0.937355,0.993728
0,0,9,20,0.82,1,0,0,0,0,0,0.956723,1
0,0,9,21,0.82,1,0,0,0,0,0,0.95626,1
0,0,9,22,0.82,1,0,30.205,0,0,0,0.934014,1
0,0,9,23,0.82,1,0,0,0,0,0,0.966081,1
0,0,9,24,0.8,1,0,12.4137,0,0,0,0.936518,1
0,0,9,25,0.76,1,0,13.8663,0,0,0,0.962768,1
0,0,9,26,0.72,1,0,0,0,0,0,0.924941,0.968292
0,0,9,27,0.7,1,0,9.45916,0,0,0,0.9247,1
0,0,9,28,0.68,1,0,0,0,0,0,0.891485,0.987843
0,0,9,29,0.66,0.96,0,0,0,0,0,0.871956,0.985422
0,0,9,30,0.64,0.92,0,0,0,0,0,0.873596,1
0,0,9,31,0.6,0.88,0,0,0,0,0,0.837842,0.971823
0,0,9,32,0.58,0.84,0,0,0,0,0,0.815331,0.950653
0,0,9,33,0.56,0.8,0,0,0,0,0,0.790892,0.928095
0,0,9,34,0.56,0.8,0,0,0,0,0,0.780927,0.942617
0,0,9,35,0.54,0.76,0,0,0,0,0,0.744688,0.914245
0,0,9,36,0.54,0.74,0,0,0,0,0,0.717778,0.886471
0,0,9,37,0.52,0.7,0,0,0,0,0,0.693616,0.853397
0,0,9,38,0.48,0.66,0,0,0,0,0,0.673572,0.821971
0,0,9,39,0.5,0.62,0,0,0,0,0,0.651957,0.804026
0,0,9,40,0.5,0.58,0,0,0,0,0,0.626037,0.766565
0,0,9,41,0.5,0.56,0,0,0,0,0,0.592886,0.740251
0,0,9,42,0.52,0.52,0,0,0,0,0,0.570984,0.709244
0,0,9,43,0.52,0.48,0,0,0,0,0,0.553859,0.688645
0,0,9,44,0.54,0.46,0,0,0,0,0,0.541449,0.662037
0,0,9,45,0.54,0.44,0,0,0,0,0,0.532822,0.655249
0,0,9,46,0.54,0.42,0,0,0,0,0,0.514623,0.644112
0,0,9,47,0.52,0.38,0,0,0,0,0,0.533491,0.786858
