Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.26953,1.35368,4.08602,-4.08602,0.208021,0.742086,1.49276,5.32521
1,4.36679,0.44341,10.6181,-10.6181,0.0126388,0.372403,0.0906963,2.67236
2,2.53402,1.07207,6.10684,-6.10684,0,0.145822,0,1.04642
3,5.17823,1.22577,5.0039,-5.0039,0.0131964,0.19386,0.0946973,1.39114
4,8.26652,2.74368,-5.88866,5.88866,0.132094,0.562182,0.947907,4.03422
5,3.07089,0.935831,7.08448,-7.08448,0.0229762,0.301028,0.164877,2.16018
6,7.50804,1.1482,5.56051,-5.56051,0.0705262,0.643427,0.506096,4.61723
7,3.60785,1.30977,4.40112,-4.40112,0.0495819,0.592657,0.3558,4.25291
8,6.02004,1.7476,1.25926,-1.25926,0.0802705,0.454709,0.576021,3.26299
9,11.6068,2.90526,-7.04816,7.04816,0.443887,0.724591,3.18533,5.19966
10,5.54848,2.32667,-2.89618,2.89618,0.111073,0.163925,0.797059,1.17633
11,4.73803,2.25107,-2.35365,2.35365,0.0504776,0.19766,0.362227,1.41841
12,5.73602,1.50272,3.01645,-3.01645,0.0189233,0.427222,0.135793,3.06575
13,10.5402,3.88266,-14.0619,14.0619,0.160086,0.78379,1.14878,5.62448
14,6.34615,1.57492,2.49836,-2.49836,0.0286552,0.451914,0.205629,3.24293
15,11.9609,2.56756,-4.62484,4.62484,0.0634858,0.843886,0.455574,6.05573
16,5.90958,2.28962,-2.63033,2.63033,0.0782201,0.564845,0.561308,4.05333
17,14.6261,4.47588,-18.3189,18.3189,0.237403,0.6577,1.7036,4.71966
18,8.31505,1.25325,4.8067,-4.8067,0.0129729,0.234091,0.0930937,1.67983
19,5.32272,2.04351,-0.864227,0.864227,0.111492,0.0777211,0.800067,0.557727
20,3.05792,1.95735,-0.245929,0.245929,0.077144,0.394771,0.553586,2.83288
21,4.63757,1.25955,4.76147,-4.76147,0.158854,0.918017,1.13994,6.58769
22,4.29899,2.55299,-4.52024,4.52024,0.233865,0.955691,1.67821,6.85804
23,2.55177,1.08512,6.01319,-6.01319,0,0.437807,0,3.1417
24,3.47277,1.81867,0.749226,-0.749226,0.0651175,0.263332,0.467283,1.88967
25,10.3945,4.84396,-20.9603,20.9603,0.271464,0.775224,1.94803,5.56301
26,11.2347,4.96577,-21.8343,21.8343,0.119625,0.453572,0.858429,3.25484
27,7.45205,1.84324,0.572935,-0.572935,0.117776,0.409468,0.845163,2.93834
28,5.15095,1.73525,1.34785,-1.34785,0.0322227,0.442186,0.23123,3.17312
29,7.66455,2.79082,-6.2269,6.2269,0.133512,0.662035,0.958081,4.75077
30,3.55972,1.99892,-0.544282,0.544282,0.0242217,0.590756,0.173815,4.23926
31,6.72575,2.78339,-6.17362,6.17362,0.0768837,1.07042,0.551718,7.68131
32,5.30222,2.84492,-6.61511,6.61511,0.263735,0.27515,1.89257,1.97447
33,5.63996,1.35744,4.05902,-4.05902,0.0437439,0.453291,0.313906,3.25282
34,3.44024,0.965894,6.86874,-6.86874,0.0106344,0.186895,0.0763122,1.34116
35,6.01805,2.51179,-4.22462,4.22462,0.0490574,0.473421,0.352036,3.39727
36,4.25935,0.710592,8.70079,-8.70079,0.00681865,0.21343,0.0489306,1.53157
37,9.6129,3.83053,-13.6879,13.6879,0.233417,0.800999,1.675,5.74797
38,11.4414,3.53434,-11.5624,11.5624,0.138063,0.743961,0.990743,5.33867
39,3.39435,0.856652,7.65266,-7.65266,0.0569532,0.216807,0.408696,1.55581
40,4.24619,1.7581,1.18387,-1.18387,0.0578822,0.499378,0.415363,3.58354
41,3.42024,1.23059,4.96931,-4.96931,0.0720018,0.239582,0.516685,1.71924
42,3.89083,2.09857,-1.25931,1.25931,0.154863,0.530237,1.1113,3.80498
43,6.31116,1.41878,3.61882,-3.61882,0.0670582,0.231473,0.48121,1.66105
44,1.86207,0.402707,10.9102,-10.9102,0.0316762,0.448537,0.227308,3.2187
45,6.54482,1.74583,1.27195,-1.27195,0.083036,0.303552,0.595866,2.17829
46,3.69997,1.21304,5.09522,-5.09522,0.0932912,0.278285,0.669458,1.99697
47,5.93761,0.868532,7.56741,-7.56741,0.0192834,0.243192,0.138378,1.74515
48,3.15319,0.798959,8.06667,-8.06667,0.0263933,0.235297,0.189399,1.68849
49,1.75154,0.920148,7.19702,-7.19702,0.0410117,0.463553,0.2943,3.32646
50,4.58524,1.03281,6.38855,-6.38855,0.092688,0.33281,0.665129,2.38825
51,3.09226,0.733268,8.53807,-8.53807,0.232638,0.734113,1.66941,5.268
52,7.00807,2.95899,-7.43371,7.43371,0.0858817,0.242041,0.616287,1.73688
53,8.258,2.09027,-1.19981,1.19981,0.0194796,0.487404,0.139786,3.49761
54,9.77387,2.13249,-1.50274,1.50274,0.0665265,0.445864,0.477394,3.19952
55,14.8821,3.60622,-12.0783,12.0783,0.0937452,0.20143,0.672715,1.44546
56,2.70337,0.709632,8.70768,-8.70768,0.0689144,0.369775,0.49453,2.6535
57,2.66415,0.317558,11.5212,-11.5212,0.000460575,0.229257,0.00330508,1.64515
58,6.50194,1.78906,0.961725,-0.961725,0.22613,1.01431,1.62271,7.27866
59,9.9626,2.52232,-4.30014,4.30014,0.0792226,0.458748,0.568502,3.29198
60,5.97218,1.57503,2.49759,-2.49759,0.0154492,0.276122,0.110863,1.98145
61,6.68253,1.79859,0.893345,-0.893345,0.149053,0.38977,1.0696,2.79699
62,1.1338,0.23853,12.0883,-12.0883,0.0339711,0.349284,0.243777,2.50646
63,9.12242,2.91218,-7.09779,7.09779,0.0699974,0.323578,0.502302,2.322
64,1.49241,1.26365,4.73203,-4.73203,0.0486837,0.649619,0.349355,4.66166
65,3.02493,1.16574,5.43468,-5.43468,0.0254154,0.445521,0.182381,3.19706
66,3.05396,1.06549,6.15406,-6.15406,0.0675859,0.712402,0.484997,5.1122
67,2.55043,0.439395,10.6469,-10.6469,0.0178454,0.351674,0.128058,2.52361
68,6.69028,1.00038,6.62127,-6.62127,0.0424637,0.361775,0.304719,2.5961
69,7.26994,1.70921,1.53473,-1.53473,0.0328429,0.525628,0.23568,3.77191
70,7.73702,1.58778,2.40608,-2.40608,0.0247193,0.573619,0.177386,4.11629
71,9.3982,3.58633,-11.9355,11.9355,0.114352,0.756376,0.820592,5.42776
72,5.57319,2.00965,-0.621276,0.621276,0.0965591,0.258829,0.692908,1.85736
73,7.53043,2.33074,-2.92537,2.92537,0.0262932,0.157774,0.18868,1.13219
74,6.08091,1.43125,3.52937,-3.52937,0.0999323,0.214552,0.717114,1.53962
75,3.31855,1.29721,4.49124,-4.49124,0.123311,0.415467,0.88488,2.98139
76,3.98286,2.2235,-2.15581,2.15581,0,0.375445,0,2.6942
77,3.26541,1.66676,1.8393,-1.8393,0,0.302582,0,2.17133
78,5.24209,1.33762,4.20125,-4.20125,0.00112735,0.289833,0.00808983,2.07984
79,6.5433,1.26512,4.72148,-4.72148,0.0519096,0.377223,0.372504,2.70696
80,10.8979,2.38887,-3.34255,3.34255,0.16848,0.382035,1.20901,2.74149
81,12.7751,2.5365,-4.40195,4.40195,0.162523,0.323716,1.16626,2.32299
