Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,2.75224,0.367478,11.163,-11.163,0.201374,1.43639,1.44506,10.3075
1,2.89537,0.291005,11.7117,-11.7117,0.0214477,0.913481,0.153909,6.55514
2,1.22423,0.398135,10.943,-10.943,0,0.180715,0,1.29681
3,3.80346,0.642998,9.18585,-9.18585,0.0151224,1.32605,0.108518,9.51572
4,4.54593,0.586774,9.58931,-9.58931,0.281169,2.57045,2.01767,18.4455
5,1.54132,0.459981,10.4992,-10.4992,0.0464377,1.40889,0.333237,10.1102
6,5.61983,0.428694,10.7237,-10.7237,0.0719054,0.661755,0.515993,4.74875
7,1.00739,0.212341,12.2762,-12.2762,0.0808029,2.20449,0.579841,15.8194
8,4.99698,0.628985,9.2864,-9.2864,0.0936216,1.29358,0.671829,9.2827
9,7.54546,0.704687,8.74316,-8.74316,0.554652,0.962542,3.98018,6.9072
10,2.97725,0.418049,10.8001,-10.8001,0.139664,0.384227,1.00223,2.75722
11,2.47547,0.461227,10.4902,-10.4902,0.0532052,1.18556,0.3818,8.5076
12,3.28539,0.343114,11.3378,-11.3378,0.0622589,0.517737,0.44677,3.71528
13,7.0454,1.61342,2.22209,-2.22209,0.117258,1.72878,0.841445,12.4057
14,3.77775,0.655096,9.09903,-9.09903,0.0282342,1.39532,0.202608,10.0128
15,8.29601,0.696441,8.80234,-8.80234,0.0891151,1.7509,0.63949,12.5645
16,1.83883,0.438,10.6569,-10.6569,0.0844508,1.1796,0.606019,8.46479
17,10.6059,1.28285,4.59424,-4.59424,0.942151,1.7323,6.76088,12.431
18,5.40336,0.463424,10.4745,-10.4745,0.0129729,0.243528,0.0930937,1.74755
19,2.57631,0.434118,10.6848,-10.6848,0.115209,0.122119,0.82674,0.876329
20,0.266425,0.283687,11.7643,-11.7643,0.0970764,1.22756,0.69662,8.80899
21,3.53488,0.324759,11.4695,-11.4695,0.232483,2.6866,1.6683,19.2791
22,2.33724,0.550599,9.8489,-9.8489,0.270639,2.47758,1.9421,17.7791
23,1.33982,0.167938,12.5949,-12.5949,0.162228,0.658213,1.16415,4.72334
24,1.64317,0.177145,12.5288,-12.5288,0.0651174,0.287781,0.467283,2.06512
25,5.93665,0.960398,6.90818,-6.90818,0.365474,1.35759,2.62264,9.74209
26,8.74941,1.3528,4.09233,-4.09233,0.160249,1.45635,1.14994,10.4508
27,3.84475,0.385426,11.0342,-11.0342,0.217114,0.980008,1.55801,7.03254
28,3.7791,0.437621,10.6596,-10.6596,0.227809,0.349002,1.63476,2.50444
29,5.2476,0.812603,7.96876,-7.96876,0.190363,2.16961,1.36605,15.5691
30,1.96378,0.246863,12.0285,-12.0285,0.0268152,2.63823,0.192426,18.932
31,3.54642,0.350721,11.2832,-11.2832,0.0849185,2.27991,0.609375,16.3607
32,4.26248,0.371597,11.1334,-11.1334,0.363032,3.01665,2.60512,21.6475
33,2.89563,0.402153,10.9142,-10.9142,0.0895218,1.11259,0.642409,7.98396
34,2.18352,0.094108,13.1247,-13.1247,0.0134492,0.273634,0.0965118,1.96359
35,3.68014,0.562191,9.76572,-9.76572,0.0627379,1.60806,0.450207,11.5395
36,2.54384,0.258145,11.9476,-11.9476,0.0202684,0.245891,0.145446,1.76451
37,6.46224,1.22111,5.03729,-5.03729,0.25987,1.48579,1.86482,10.662
38,7.88261,1.25941,4.76251,-4.76251,0.183927,1.3892,1.31986,9.96888
39,2.37686,0.39509,10.9648,-10.9648,0.0555549,1.03037,0.398662,7.39393
40,2.548,0.318512,11.5144,-11.5144,0.0342768,1.82327,0.24597,13.0838
41,1.20851,0.107997,13.025,-13.025,0.0752617,0.818,0.540078,5.86996
42,2.15402,0.416177,10.8135,-10.8135,0.198054,0.510453,1.42123,3.66301
43,3.86103,0.55404,9.82421,-9.82421,0.0638797,0.325335,0.458401,2.33461
44,0.935398,0.159256,12.6572,-12.6572,0.0398317,0.450593,0.285832,3.23345
45,3.67235,0.59806,9.50832,-9.50832,0.125127,0.77508,0.897913,5.56197
46,0.961981,0.254343,11.9748,-11.9748,0.0962059,0.402702,0.690373,2.88979
47,5.42174,0.265426,11.8953,-11.8953,0.0259746,0.377745,0.186394,2.7107
48,1.15443,0.252728,11.9864,-11.9864,0.0446343,0.357998,0.320295,2.56899
49,0.723186,0.107561,13.0281,-13.0281,0.0410116,0.513214,0.294299,3.68282
50,3.43903,0.524594,10.0355,-10.0355,0.160423,0.834059,1.1512,5.98521
51,1.62238,0.164453,12.6199,-12.6199,0.225076,1.43751,1.61515,10.3156
52,4.08492,0.551139,9.84503,-9.84503,0.135399,0.400893,0.971623,2.87681
53,7.44686,0.91317,7.24709,-7.24709,0.0316605,4.04007,0.227196,28.9916
54,7.45328,0.660858,9.05768,-9.05768,0.110958,0.878851,0.796236,6.30663
55,7.92856,0.95101,6.97555,-6.97555,0.383081,2.41714,2.74899,17.3454
56,1.64517,0.277615,11.8078,-11.8078,0.0753958,1.42152,0.54104,10.2009
57,1.79543,0.256115,11.9621,-11.9621,0.00584629,0.266254,0.041953,1.91064
58,3.32172,0.338047,11.3742,-11.3742,0.221002,2.69709,1.58591,19.3543
59,6.15301,0.882193,7.46938,-7.46938,0.0923685,1.86124,0.662837,13.3563
60,3.43133,0.351746,11.2759,-11.2759,0.016117,0.327555,0.115656,2.35054
61,4.66171,0.226065,12.1778,-12.1778,0.144303,1.83123,1.03552,13.1409
62,0.182819,0.0530853,13.4191,-13.4191,0.027868,0.411181,0.199981,2.95064
63,5.90024,0.580826,9.63199,-9.63199,0.0886418,0.580932,0.636093,4.16877
64,0.629498,0.202853,12.3443,-12.3443,0.0661933,2.55328,0.475003,18.3223
