Solution,RDMnum,Realization,Year,Utility,Project
0,0,0,16,Durham,Western JL WTP (Small)
0,0,0,23,Raleigh,Reallocate Falls Lake
0,0,0,33,Durham,Western JL WTP (Large)
0,0,0,48,Raleigh,Neuse River Intake
0,0,1,16,Durham,Western JL WTP (Small)
0,0,1,21,Raleigh,Reallocate Falls Lake
0,0,1,33,Durham,Western JL WTP (Large)
0,0,1,48,Raleigh,Neuse River Intake
0,0,2,16,Durham,Western JL WTP (Small)
0,0,2,21,Raleigh,Reallocate Falls Lake
0,0,2,33,Durham,Western JL WTP (Large)
0,0,2,34,Raleigh,Neuse River Intake
0,0,3,16,Durham,Western JL WTP (Small)
0,0,3,23,Raleigh,Reallocate Falls Lake
0,0,3,33,Durham,Western JL WTP (Large)
0,0,3,44,Raleigh,Neuse River Intake
0,0,4,16,Durham,Western JL WTP (Small)
0,0,4,23,Raleigh,Reallocate Falls Lake
0,0,4,33,Durham,Western JL WTP (Large)
0,0,4,44,Raleigh,Neuse River Intake
0,0,5,16,Durham,Western JL WTP (Small)
0,0,5,23,Raleigh,Reallocate Falls Lake
0,0,5,33,Durham,Western JL WTP (Large)
0,0,5,48,Raleigh,Neuse River Intake
0,0,6,16,Durham,Western JL WTP (Small)
0,0,6,23,Raleigh,Reallocate Falls Lake
0,0,6,33,Durham,Western JL WTP (Large)
0,0,7,16,Durham,Western JL WTP (Small)
0,0,7,23,Raleigh,Reallocate Falls Lake
0,0,7,33,Durham,Western JL WTP (Large)
0,0,8,16,Durham,Western JL WTP (Small)
0,0,8,23,Raleigh,Reallocate Falls Lake
0,0,8,33,Durham,Western JL WTP (Large)
0,0,8,42,Raleigh,Neuse River Intake
0,0,9,16,Durham,Western JL WTP (Small)
0,0,9,22,Raleigh,Reallocate Falls Lake
0,0,9,33,Durham,Western JL WTP (Large)
0,0,9,48,Raleigh,Neuse River Intake
0,0,10,16,Durham,Western JL WTP (Small)
0,0,10,23,Raleigh,Reallocate Falls Lake
0,0,10,33,Durham,Western JL WTP (Large)
0,0,10,45,Raleigh,Neuse River Intake
0,0,11,16,Durham,Western JL WTP (Small)
0,0,11,21,Raleigh,Reallocate Falls Lake
0,0,11,33,Durham,Western JL WTP (Large)
0,0,11,48,Raleigh,Neuse River Intake
0,0,12,16,Durham,Western JL WTP (Small)
0,0,12,18,Raleigh,Reallocate Falls Lake
0,0,12,33,Durham,Western JL WTP (Large)
0,0,12,36,Raleigh,Neuse River Intake
0,0,13,16,Durham,Western JL WTP (Small)
0,0,13,23,Raleigh,Reallocate Falls Lake
0,0,13,33,Durham,Western JL WTP (Large)
0,0,13,48,Raleigh,Neuse River Intake
0,0,14,16,Durham,Western JL WTP (Small)
0,0,14,23,Raleigh,Reallocate Falls Lake
0,0,14,33,Durham,Western JL WTP (Large)
0,0,14,44,Raleigh,Neuse River Intake
0,0,15,16,Durham,Western JL WTP (Small)
0,0,15,23,Raleigh,Reallocate Falls Lake
0,0,15,33,Durham,Western JL WTP (Large)
0,0,16,16,Durham,Western JL WTP (Small)
0,0,16,23,Raleigh,Reallocate Falls Lake
0,0,16,33,Durham,Western JL WTP (Large)
0,0,16,48,Raleigh,Neuse River Intake
0,0,17,16,Durham,Western JL WTP (Small)
0,0,17,23,Raleigh,Reallocate Falls Lake
0,0,17,33,Durham,Western JL WTP (Large)
0,0,17,52,Raleigh,Neuse River Intake
0,0,18,16,Durham,Western JL WTP (Small)
0,0,18,23,Raleigh,Reallocate Falls Lake
0,0,18,33,Durham,Western JL WTP (Large)
0,0,18,48,Raleigh,Neuse River Intake
0,0,19,16,Durham,Western JL WTP (Small)
0,0,19,23,Raleigh,Reallocate Falls Lake
0,0,19,33,Durham,Western JL WTP (Large)
0,0,19,48,Raleigh,Neuse River Intake
0,0,20,16,Durham,Western JL WTP (Small)
0,0,20,23,Raleigh,Reallocate Falls Lake
0,0,20,33,Durham,Western JL WTP (Large)
0,0,20,50,Raleigh,Neuse River Intake
0,0,21,16,Durham,Western JL WTP (Small)
0,0,21,21,Raleigh,Reallocate Falls Lake
0,0,21,33,Durham,Western JL WTP (Large)
0,0,21,38,Raleigh,Neuse River Intake
0,0,22,16,Durham,Western JL WTP (Small)
0,0,22,21,Raleigh,Reallocate Falls Lake
0,0,22,33,Durham,Western JL WTP (Large)
0,0,22,41,Raleigh,Neuse River Intake
0,0,23,16,Durham,Western JL WTP (Small)
0,0,23,23,Raleigh,Reallocate Falls Lake
0,0,23,33,Durham,Western JL WTP (Large)
0,0,23,48,Raleigh,Neuse River Intake
0,0,24,16,Durham,Western JL WTP (Small)
0,0,24,22,Raleigh,Reallocate Falls Lake
0,0,24,33,Durham,Western JL WTP (Large)
0,0,24,42,Raleigh,Neuse River Intake
0,0,25,16,Durham,Western JL WTP (Small)
0,0,25,23,Raleigh,Reallocate Falls Lake
0,0,25,33,Durham,Western JL WTP (Large)
0,0,25,48,Raleigh,Neuse River Intake
0,0,26,16,Durham,Western JL WTP (Small)
0,0,26,23,Raleigh,Reallocate Falls Lake
0,0,26,33,Durham,Western JL WTP (Large)
0,0,27,16,Durham,Western JL WTP (Small)
0,0,27,21,Raleigh,Reallocate Falls Lake
0,0,27,33,Durham,Western JL WTP (Large)
0,0,27,33,Raleigh,Neuse River Intake
0,0,28,16,Durham,Western JL WTP (Small)
0,0,28,23,Raleigh,Reallocate Falls Lake
0,0,28,33,Durham,Western JL WTP (Large)
0,0,28,48,Raleigh,Neuse River Intake
0,0,29,16,Durham,Western JL WTP (Small)
0,0,29,23,Raleigh,Reallocate Falls Lake
0,0,29,33,Durham,Western JL WTP (Large)
0,0,29,45,Raleigh,Neuse River Intake
0,0,30,16,Durham,Western JL WTP (Small)
0,0,30,23,Raleigh,Reallocate Falls Lake
0,0,30,33,Durham,Western JL WTP (Large)
0,0,30,48,Raleigh,Neuse River Intake
0,0,31,16,Durham,Western JL WTP (Small)
0,0,31,21,Raleigh,Reallocate Falls Lake
0,0,31,33,Durham,Western JL WTP (Large)
0,0,31,44,Raleigh,Neuse River Intake
0,0,32,16,Durham,Western JL WTP (Small)
0,0,32,23,Raleigh,Reallocate Falls Lake
0,0,32,33,Durham,Western JL WTP (Large)
0,0,33,16,Durham,Western JL WTP (Small)
0,0,33,23,Raleigh,Reallocate Falls Lake
0,0,33,33,Durham,Western JL WTP (Large)
0,0,33,46,Raleigh,Neuse River Intake
0,0,34,16,Durham,Western JL WTP (Small)
0,0,34,23,Raleigh,Reallocate Falls Lake
0,0,34,33,Durham,Western JL WTP (Large)
0,0,34,48,Raleigh,Neuse River Intake
0,0,35,16,Durham,Western JL WTP (Small)
0,0,35,23,Raleigh,Reallocate Falls Lake
0,0,35,33,Durham,Western JL WTP (Large)
0,0,36,16,Durham,Western JL WTP (Small)
0,0,36,23,Raleigh,Reallocate Falls Lake
0,0,36,33,Durham,Western JL WTP (Large)
0,0,37,16,Durham,Western JL WTP (Small)
0,0,37,23,Raleigh,Reallocate Falls Lake
0,0,37,33,Durham,Western JL WTP (Large)
0,0,38,16,Durham,Western JL WTP (Small)
0,0,38,23,Raleigh,Reallocate Falls Lake
0,0,38,33,Durham,Western JL WTP (Large)
0,0,38,48,Raleigh,Neuse River Intake
0,0,39,16,Durham,Western JL WTP (Small)
0,0,39,23,Raleigh,Reallocate Falls Lake
0,0,39,33,Durham,Western JL WTP (Large)
0,0,39,48,Raleigh,Neuse River Intake
0,0,40,16,Durham,Western JL WTP (Small)
0,0,40,21,Raleigh,Reallocate Falls Lake
0,0,40,33,Durham,Western JL WTP (Large)
0,0,40,48,Raleigh,Neuse River Intake
0,0,41,16,Durham,Western JL WTP (Small)
0,0,41,23,Raleigh,Reallocate Falls Lake
0,0,41,33,Durham,Western JL WTP (Large)
0,0,42,16,Durham,Western JL WTP (Small)
0,0,42,23,Raleigh,Reallocate Falls Lake
0,0,42,33,Durham,Western JL WTP (Large)
0,0,42,43,Raleigh,Neuse River Intake
0,0,43,16,Durham,Western JL WTP (Small)
0,0,43,23,Raleigh,Reallocate Falls Lake
0,0,43,33,Durham,Western JL WTP (Large)
