Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,14.1318,1.42929,3.5434,-3.5434,0.15055,0.745061,1.08035,5.34655
1,24.9941,1.89125,0.2284,-0.2284,0.0195207,0.521398,0.14008,3.74155
2,18.1571,1.56445,2.57352,-2.57352,0.093761,0.511996,0.672829,3.67408
3,24.9691,1.73347,1.36062,-1.36062,0.144369,1.15293,1.03599,8.2734
4,29.4572,1.51735,2.91146,-2.91146,0.219788,1.31981,1.5772,9.47092
5,26.8674,1.47334,3.22731,-3.22731,0.0859308,0.57642,0.61664,4.13639
6,24.8748,1.8434,0.571749,-0.571749,0.0285895,0.423791,0.205159,3.04112
7,23.9807,1.8004,0.88032,-0.88032,0.115767,1.10974,0.830747,7.96349
8,20.1333,1.66576,1.84652,-1.84652,0.117253,0.766236,0.84141,5.49851
9,29.7498,2.49893,-4.13235,4.13235,0.252505,0.883554,1.81197,6.34039
10,24.0169,1.46421,3.29283,-3.29283,0.00574866,0.359225,0.0412524,2.5778
11,23.2401,1.53653,2.77383,-2.77383,0.0538149,0.515318,0.386176,3.69792
12,28.4125,1.79848,0.894112,-0.894112,0.012712,0.610703,0.0912215,4.38241
13,29.601,2.31172,-2.78892,2.78892,0.242418,1.2951,1.73959,9.29363
14,21.314,1.6248,2.14044,-2.14044,0.0569872,0.608719,0.40894,4.36817
15,41.2615,2.47486,-3.95959,3.95959,0.110217,1.09342,0.790915,7.8464
16,20.1179,1.80274,0.863511,-0.863511,0.136844,0.752423,0.981994,5.39939
17,33.3633,3.38931,-10.5217,10.5217,0.191217,0.738598,1.37217,5.30018
18,24.4286,1.38597,3.8543,-3.8543,0.0129729,0.250812,0.0930937,1.79983
19,19.1414,1.85755,0.470229,-0.470229,0.0749024,0.285341,0.537499,2.04761
20,20.1117,1.31371,4.3728,-4.3728,0.0504453,0.781136,0.361995,5.60543
21,23.7383,2.44152,-3.72038,3.72038,0.0789354,1.19423,0.56644,8.56979
22,19.6791,1.26477,4.72399,-4.72399,0.262004,1.40942,1.88014,10.114
23,18.6592,1.62089,2.1685,-2.1685,0.0267536,0.891869,0.191984,6.40005
24,21.3732,1.68487,1.7094,-1.7094,0.0504812,0.528259,0.362253,3.79078
25,31.3319,2.71428,-5.67767,5.67767,0.25706,1.25147,1.84466,8.98052
26,25.6347,2.60795,-4.91465,4.91465,0.100984,0.65388,0.72466,4.69224
27,29.0159,1.83551,0.628408,-0.628408,0.284525,1.09786,2.04175,7.87824
28,21.5616,1.41105,3.67431,-3.67431,0.0864734,0.556979,0.620533,3.99688
29,32.5239,2.32007,-2.84884,2.84884,0.131957,1.48819,0.94692,10.6793
30,27.6602,2.3477,-3.04708,3.04708,0.074841,0.99199,0.537059,7.11852
31,20.3182,1.29802,4.48544,-4.48544,0.0946192,1.23368,0.678987,8.85287
32,28.9887,2.23193,-2.21632,2.21632,0.286426,1.25231,2.0554,8.98659
33,29.6756,2.53571,-4.39625,4.39625,0.0225872,0.706121,0.162086,5.06712
34,13.5416,2.08972,-1.19582,1.19582,0.0901055,0.446182,0.646597,3.2018
35,24.0269,1.85347,0.499511,-0.499511,0.0640957,0.603964,0.459951,4.33405
36,16.3,0.958595,6.92112,-6.92112,0.0154947,0.529312,0.11119,3.79834
37,20.0425,1.63336,2.07901,-2.07901,0.223157,0.779687,1.60137,5.59503
38,34.1674,2.60849,-4.91853,4.91853,0.162416,0.895497,1.1655,6.42608
39,16.7527,1.45587,3.35266,-3.35266,0.0655855,0.293292,0.470642,2.10466
40,24.6413,1.72123,1.44848,-1.44848,0.194339,1.34509,1.39458,9.65235
41,17.6846,1.31664,4.35176,-4.35176,0.0724019,0.476623,0.519556,3.42025
42,18.7513,1.45596,3.35201,-3.35201,0.12168,0.907069,0.873179,6.50912
43,22.9196,1.79947,0.887035,-0.887035,0.0542418,0.546822,0.389239,3.924
44,18.6961,1.54434,2.71783,-2.71783,0.0563667,0.769831,0.404488,5.52431
45,27.7995,2.33004,-2.92034,2.92034,0.0795567,0.400077,0.570899,2.87095
46,21.4666,1.37885,3.9054,-3.9054,0.0258759,0.544869,0.185686,3.90998
47,21.4827,1.49109,3.09991,-3.09991,0.0483222,0.865048,0.34676,6.20758
48,19.1257,1.87746,0.327349,-0.327349,0.0203277,0.249357,0.145872,1.78938
