Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.49978,0.564667,9.74795,-9.74795,0,0.0972687,0,0.698
1,9.33228,0.883244,7.46184,-7.46184,0.0195302,0.00137206,0.140149,0.00984588
2,3.99293,0.353258,11.265,-11.265,0,0.0155028,0,0.111248
3,7.62072,0.759252,8.35161,-8.35161,0,0.130135,0,0.933848
4,10.419,0.868384,7.56848,-7.56848,0.0514044,0.379754,0.368878,2.72511
5,8.052,0.921872,7.18464,-7.18464,0,0.0220373,0,0.15814
6,9.75711,1.06111,6.18548,-6.18548,0,0.0031223,0,0.0224056
7,8.14845,0.789465,8.1348,-8.1348,0.0183999,0.150652,0.132038,1.08108
8,5.3037,0.530853,9.9906,-9.9906,0.0506017,0.168105,0.363118,1.20632
9,11.4519,1.2038,5.1615,-5.1615,0.0754509,0.128081,0.541436,0.919109
10,9.96928,0.71568,8.66428,-8.66428,0,0.00816102,0,0.0585635
11,6.739,0.686723,8.87208,-8.87208,0.00335903,0.0553739,0.0241044,0.397363
12,9.9684,0.776475,8.22801,-8.22801,0,0.0687467,0,0.493327
13,11.2735,1.44013,3.46562,-3.46562,0.0126059,0.151278,0.0904599,1.08557
14,7.06323,0.562997,9.75993,-9.75993,0,0.0294088,0,0.211038
15,16.271,1.67011,1.81527,-1.81527,0.0476274,0.195462,0.341774,1.40264
16,6.90634,0.693998,8.81987,-8.81987,0.00769886,0.00665958,0.055247,0.0477892
17,13.3909,1.59564,2.34967,-2.34967,0.0157016,0.104043,0.112675,0.746611
18,9.74626,0.989469,6.69957,-6.69957,0.00275816,0.0275973,0.0197926,0.198038
19,7.28697,1.46831,3.26342,-3.26342,0.037062,0.0214016,0.265957,0.153578
20,6.28627,0.778308,8.21486,-8.21486,0,0.0906961,0,0.650835
21,7.58443,1.08611,6.00604,-6.00604,0.00676567,0.124451,0.0485505,0.893059
22,5.90957,0.548561,9.86353,-9.86353,0.0274643,0.106848,0.197084,0.766744
23,3.90636,0.815962,7.94466,-7.94466,0,0.0589983,0,0.423372
24,6.8843,0.473725,10.4005,-10.4005,0.0235719,0.0139621,0.169152,0.100192
25,11.504,1.48085,3.17343,-3.17343,0.0490567,0.0906247,0.352031,0.650323
26,9.43462,1.38194,3.88316,-3.88316,0.0488007,0.0675678,0.350193,0.484867
27,10.8787,0.879997,7.48514,-7.48514,0.0637652,0.197125,0.457579,1.41457
28,7.73026,0.738012,8.50403,-8.50403,0.0100272,0.0986695,0.0719554,0.708052
29,14.0742,1.43085,3.53221,-3.53221,0.0298218,0.19683,0.214001,1.41245
30,9.19013,1.22106,5.03766,-5.03766,0.0026993,0.0496153,0.0193702,0.356039
31,7.1845,0.505337,10.1737,-10.1737,0.012878,0.128944,0.0924127,0.925306
32,10.63,1.02756,6.42626,-6.42626,0,0.121245,0,0.870053
33,7.7939,0.969085,6.84584,-6.84584,0,0.0261147,0,0.187399
34,4.66372,1.28663,4.56713,-4.56713,0,0.0565267,0,0.405635
35,7.08823,0.769429,8.27858,-8.27858,0.0327192,0.0590036,0.234793,0.42341
36,4.04333,0.438924,10.6503,-10.6503,0,0.0226165,0,0.162296
37,7.24383,0.826216,7.87108,-7.87108,0.0197433,0.067042,0.141678,0.481093
38,13.1914,1.33956,4.18734,-4.18734,0.0562578,0.134552,0.403706,0.965545
39,4.9705,0.520026,10.0683,-10.0683,0.00556361,0.0150822,0.0399244,0.10823
40,8.8291,0.746216,8.44515,-8.44515,0.00860702,0.159287,0.061764,1.14304
41,6.01386,0.754003,8.38927,-8.38927,0.0113275,0.00400519,0.0812859,0.0287412
42,3.89844,0.662795,9.04378,-9.04378,0.0836094,0.130953,0.599981,0.939719
43,8.77627,0.961546,6.89994,-6.89994,0.029039,0,0.208384,0
44,6.41872,0.543308,9.90122,-9.90122,0.0204579,0.238614,0.146806,1.7123
45,10.6602,1.00738,6.57102,-6.57102,0.0249387,0.0521617,0.17896,0.374312
46,3.88881,0.520504,10.0649,-10.0649,0,0.0823343,0,0.590831
47,8.77638,1.27042,4.68346,-4.68346,0,1.19257e-05,0,8.55787e-05
48,7.4516,0.652221,9.11966,-9.11966,0,0,0,0
49,5.97242,0.435831,10.6725,-10.6725,0.00868374,0.061408,0.0623145,0.440664
50,5.61428,0.840846,7.76609,-7.76609,0.0229061,0.0678113,0.164375,0.486614
51,8.65643,0.830358,7.84135,-7.84135,0.0765454,0.161866,0.54929,1.16155
52,11.5153,1.17331,5.38036,-5.38036,0,0.0147722,0,0.106005
53,13.2577,1.54896,2.68465,-2.68465,0,0.00479062,0,0.0343775
54,11.0437,1.09368,5.95172,-5.95172,0.0233817,0.0992634,0.167787,0.712314
55,17.8716,1.873,0.359346,-0.359346,0.0373022,0.0666891,0.26768,0.478561
56,3.47853,0.494966,10.2481,-10.2481,0.0102923,0.0545012,0.0738573,0.391101
57,6.76682,1.01064,6.54764,-6.54764,0,0.0352815,0,0.25318
58,8.2435,0.844151,7.74237,-7.74237,0.048303,0.125303,0.346623,0.899177
59,12.8107,1.42097,3.60315,-3.60315,0.0507388,0.0565776,0.364102,0.406001
60,10.8452,0.911328,7.26031,-7.26031,0,0.0289309,0,0.207608
61,9.35135,0.77683,8.22546,-8.22546,0.0879538,0.0928264,0.631156,0.666122
62,5.49392,0.872237,7.54083,-7.54083,0,0.0233101,0,0.167273
63,11.8007,0.989421,6.69992,-6.69992,0,0.0699832,0,0.502199
64,3.12561,0.768438,8.28569,-8.28569,0,0.119248,0,0.855727
65,5.5643,0.795584,8.09089,-8.09089,0,0.0253976,0,0.182253
