Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.69286,1.62125,2.16593,-2.16593,0.15055,0.643405,1.08035,4.61708
1,4.04496,0.376801,11.0961,-11.0961,0.0120703,0.275527,0.0866167,1.97718
2,1.98279,0.748198,8.43093,-8.43093,0,0.178822,0,1.28322
3,4.93574,1.34184,4.17094,-4.17094,0.0131735,0.155176,0.0945333,1.11354
4,8.20777,2.86035,-6.72584,6.72584,0.127147,0.505601,0.912407,3.62819
5,2.47989,0.992266,6.6795,-6.6795,0.0193837,0.159339,0.139097,1.14342
6,6.32157,1.54868,2.68665,-2.68665,0.0443395,0.320075,0.318181,2.29686
7,3.04935,1.01848,6.49141,-6.49141,0.043133,0.501818,0.309523,3.60104
8,4.78067,1.85586,0.482328,-0.482328,0.0543259,0.282831,0.389843,2.02959
9,9.50451,2.59908,-4.85097,4.85097,0.198635,0.586978,1.42541,4.21215
10,6.04581,1.41761,3.62725,-3.62725,0.0306267,0.121063,0.219777,0.868751
11,4.20793,1.62404,2.14588,-2.14588,0,0.062014,0,0.445013
12,7.09346,1.48552,3.13988,-3.13988,0,0.299657,0,2.15034
13,8.69495,1.95189,-0.20679,0.20679,0.110426,0.597007,0.79242,4.28412
14,5.19463,1.16174,5.46332,-5.46332,0.0323177,0.268779,0.231912,1.92876
15,13.1294,3.48906,-11.2375,11.2375,0.0541201,0.530628,0.388366,3.80779
16,4.88807,1.54738,2.69601,-2.69601,0.054472,0.319066,0.390891,2.28961
17,12.8134,4.1763,-16.1691,16.1691,0.159072,0.607557,1.1415,4.35983
18,7.65931,1.18534,5.29399,-5.29399,0.0129729,0.171769,0.0930937,1.23261
19,4.41681,1.83216,0.652386,-0.652386,0.0858094,0.0708226,0.615768,0.508223
20,2.99801,0.884116,7.45558,-7.45558,0.0272063,0.381316,0.195232,2.73632
21,3.82113,1.13063,5.68659,-5.68659,0.0753757,0.693373,0.540896,4.97564
22,3.53788,1.78176,1.01407,-1.01407,0.18425,0.622079,1.32217,4.46404
23,2.25017,0.506244,10.1672,-10.1672,0,0.364224,0,2.61367
24,3.86149,1.18127,5.32322,-5.32322,0.0526397,0.176056,0.377742,1.26338
25,7.4129,2.69564,-5.54395,5.54395,0.175874,0.64465,1.26207,4.62601
26,8.1985,4.74897,-20.2786,20.2786,0.139424,0.24643,1.00051,1.76838
27,5.76195,1.32438,4.29623,-4.29623,0.130962,0.253137,0.939781,1.81651
28,4.18243,1.10256,5.88806,-5.88806,0.0486406,0.313423,0.349045,2.24912
29,7.08164,2.43209,-3.65268,3.65268,0.0700582,0.690039,0.502738,4.95172
30,3.02132,1.31026,4.39754,-4.39754,0.0146411,0.422361,0.105065,3.03086
31,4.92414,1.44997,3.39502,-3.39502,0.0653438,0.834628,0.468907,5.98929
32,9.02973,2.31475,-2.81064,2.81064,0.210826,0.207222,1.51289,1.48702
33,5.32403,1.12276,5.74306,-5.74306,0.0318937,0.367407,0.228869,2.63651
34,3.06405,1.6726,1.79741,-1.79741,0.00711376,0.156283,0.0510484,1.12148
35,5.54035,1.70562,1.56049,-1.56049,0.0415342,0.267512,0.298049,1.91967
36,3.36389,0.827749,7.86007,-7.86007,0.0033057,0.0842399,0.0237217,0.604506
37,6.10992,3.03628,-7.98835,7.98835,0.232796,0.692434,1.67055,4.96891
38,9.9103,3.31277,-9.97242,9.97242,0.1479,0.598812,1.06133,4.29707
39,2.13863,0.869898,7.55761,-7.55761,0.0536554,0.0730397,0.385031,0.524133
40,3.97341,0.860532,7.62482,-7.62482,0.0285942,0.351644,0.205192,2.52339
41,3.05483,0.97571,6.79831,-6.79831,0.0681456,0.172086,0.489013,1.23489
42,3.05413,1.63838,2.04301,-2.04301,0.162274,0.466411,1.16448,3.34697
43,5.19862,1.24782,4.84567,-4.84567,0.0507915,0.100562,0.364479,0.721635
44,1.67347,0.606097,9.45065,-9.45065,0.0204577,0.354171,0.146805,2.54153
45,5.79691,1.20326,5.1654,-5.1654,0.0975951,0.215856,0.700343,1.54898
46,2.92729,0.716355,8.65944,-8.65944,0.070578,0.199698,0.506468,1.43303
47,5.54154,1.22631,4.99999,-4.99999,0.00421449,0.148689,0.0302432,1.06699
48,2.65569,0.735659,8.52091,-8.52091,0.00712529,0.126092,0.0511311,0.904838
