Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.07129,0.680409,8.91739,-8.91739,0.15055,0.643406,1.08035,4.61708
1,4.31524,0.106524,13.0356,-13.0356,0.0241129,0.355546,0.173034,2.5514
2,2.06914,0.292527,11.7008,-11.7008,0,0.178822,0,1.28323
3,4.95427,0.463827,10.4716,-10.4716,0.0131735,0.166525,0.0945333,1.19498
4,8.59269,1.2107,5.112,-5.112,0.095294,0.56372,0.68383,4.04526
5,2.52376,0.240966,12.0708,-12.0708,0.0193837,0.176636,0.139097,1.26754
6,6.65913,0.505476,10.1727,-10.1727,0.0443396,0.384376,0.318181,2.75828
7,3.40276,0.467066,10.4483,-10.4483,0.064994,0.572132,0.466397,4.10562
8,4.97726,0.673687,8.96562,-8.96562,0.0639748,0.347467,0.459083,2.49343
9,9.89973,1.11468,5.80105,-5.80105,0.198635,0.634539,1.42541,4.55345
10,6.34857,0.58742,9.58467,-9.58467,0.0347826,0.162925,0.2496,1.16915
11,4.94308,0.646763,9.15883,-9.15883,0.037111,0.149806,0.266308,1.075
12,7.57999,0.658902,9.07172,-9.07172,0,0.308226,0,2.21183
13,9.06584,0.899033,7.34854,-7.34854,0.125289,0.694214,0.899071,4.98168
14,5.815,0.403453,10.9048,-10.9048,0.0324072,0.287412,0.232554,2.06247
15,13.3118,1.2705,4.6829,-4.6829,0.0540898,0.587195,0.388149,4.21371
16,5.20211,0.584273,9.60726,-9.60726,0.0524359,0.335133,0.37628,2.40491
17,12.8518,1.56536,2.56701,-2.56701,0.159072,0.692921,1.1415,4.9724
18,7.86425,0.47797,10.3701,-10.3701,0.0129729,0.174944,0.0930937,1.2554
19,5.04302,0.663591,9.03807,-9.03807,0.0848143,0.0718177,0.608627,0.515364
20,3.34807,0.431264,10.7052,-10.7052,0.02704,0.381482,0.194039,2.73752
21,4.32621,0.543586,9.89923,-9.89923,0.0599716,0.708777,0.430356,5.08618
22,3.7997,0.750045,8.41768,-8.41768,0.183452,0.658171,1.31645,4.72303
23,2.4235,0.229881,12.1504,-12.1504,0.0135409,0.428036,0.0971693,3.07159
24,4.00293,0.426534,10.7392,-10.7392,0.0526397,0.189683,0.377742,1.36117
25,8.31091,1.0199,6.48119,-6.48119,0.156009,0.725463,1.11952,5.20592
26,8.65375,1.71369,1.50258,-1.50258,0.14569,0.290804,1.04547,2.08681
27,7.11765,0.7263,8.58807,-8.58807,0.134808,0.27194,0.96738,1.95144
28,4.72534,0.422103,10.771,-10.771,0.0486406,0.313423,0.349045,2.24912
29,7.50619,0.988318,6.70783,-6.70783,0.0738402,0.749596,0.529877,5.3791
30,3.46584,0.549963,9.85347,-9.85347,0.0146411,0.448708,0.105065,3.21993
31,5.21746,0.49504,10.2476,-10.2476,0.0653438,0.834628,0.468907,5.98929
32,9.12064,0.872157,7.5414,-7.5414,0.166911,0.212291,1.19775,1.5234
33,5.69407,0.426647,10.7384,-10.7384,0.0311584,0.368143,0.223593,2.64179
34,3.25816,0.533792,9.96951,-9.96951,0.00711376,0.156283,0.0510484,1.12148
35,6.19773,0.446973,10.5925,-10.5925,0.0414606,0.306075,0.297521,2.19639
36,3.70591,0.389218,11.007,-11.007,0.0033057,0.0884628,0.0237217,0.634809
37,7.47406,1.14212,5.60416,-5.60416,0.232596,0.692635,1.66911,4.97035
38,10.6007,1.32427,4.29703,-4.29703,0.148133,0.600802,1.063,4.31135
39,2.42318,0.360148,11.2156,-11.2156,0.0536554,0.0730397,0.385031,0.524133
40,4.21015,0.32714,11.4524,-11.4524,0.0285942,0.351644,0.205192,2.52339
41,3.26463,0.460031,10.4988,-10.4988,0.0681456,0.172086,0.489013,1.23489
42,3.41396,0.499426,10.2161,-10.2161,0.162274,0.495224,1.16448,3.55373
43,5.72994,0.491606,10.2722,-10.2722,0.0507915,0.100562,0.364479,0.721635
44,1.91797,0.265426,11.8953,-11.8953,0.0355461,0.412698,0.255079,2.96152
45,6.31557,0.506586,10.1647,-10.1647,0.0972865,0.250141,0.698128,1.79501
46,3.16589,0.318215,11.5165,-11.5165,0.070578,0.199698,0.506468,1.43303
47,5.50634,0.40862,10.8677,-10.8677,0.00421449,0.135545,0.0302432,0.97267
48,3.03323,0.268084,11.8762,-11.8762,0.00712529,0.147261,0.0511311,1.05674
49,2.05777,0.290182,11.7177,-11.7177,0.0353902,0.292348,0.25396,2.09789
50,3.75865,0.234254,12.119,-12.119,0.0426062,0.239694,0.305742,1.72005
51,2.97197,0.305734,11.6061,-11.6061,0.151871,0.52386,1.08983,3.75922
52,6.94893,1.02412,6.45092,-6.45092,0.0843971,0.156041,0.605634,1.11975
53,7.16765,0.656769,9.08703,-9.08703,0.00765357,0.451036,0.054922,3.23663
