Rank,Realization,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
3,0,0,0,13.8,-13.8,0.142522,0.934841,1.02274,6.70842
3,1,1.82467,0.374759,11.1107,-11.1107,0.864671,0.836695,6.20488,6.00412
3,2,0.263515,0.358767,11.2255,-11.2255,0.573553,3.32645,4.11582,23.8706
3,3,3.73088,2.26326,-2.44113,2.44113,1.43711,1.55103,10.3127,11.1302
3,4,5.24217,6.63497,-33.8126,33.8126,1.71522,1.72851,12.3084,12.4038
3,5,3.52275,8.74451,-48.9506,48.9506,1.50099,1.76342,10.7711,12.6543
3,6,2.08237,0.964922,6.87572,-6.87572,0.41533,0.471063,2.98041,3.38035
3,7,3.82413,4.46485,-18.2398,18.2398,0.876789,0.486581,6.29184,3.49171
3,8,1.82267,15.7821,-99.4524,99.4524,1.25108,2.94457,8.97773,21.1302
3,9,1.59934,4.64692,-19.5463,19.5463,0.953045,0.735238,6.83905,5.27607
3,10,1.4215,0.266185,11.8899,-11.8899,0.130741,0.645653,0.938195,4.63321
3,11,2.79325,5.97378,-29.0679,29.0679,0.785308,0.780275,5.63537,5.59925
3,12,2.99211,0,13.8,-13.8,0.571034,0.226241,4.09774,1.6235
3,13,2.73261,4.51433,-18.5948,18.5948,1.27587,2.99506,9.15562,21.4925
3,14,2.6077,2.12583,-1.45495,1.45495,0.523773,1.00723,3.75859,7.22789
3,15,1.46947,4.10648,-15.6681,15.6681,1.16038,5.50211,8.32685,39.4831
3,16,1.08679,2.11695,-1.39125,1.39125,0.649255,0.749916,4.65905,5.3814
3,17,4.36323,1.8349,0.632785,-0.632785,0.81563,6.27207,5.85296,45.0084
3,18,1.47107,0,13.8,-13.8,0.145108,0.402312,1.04129,2.88699
3,19,2.58928,1.85903,0.459598,-0.459598,0.96226,0.927055,6.90518,6.65255
3,20,1.3055,4.51554,-18.6035,18.6035,1.16636,0.694366,8.36982,4.98277
3,21,4.99418,1.63447,2.07103,-2.07103,1.1894,1.3808,8.53517,9.90862
3,22,5.97234,14.421,-89.6852,89.6852,2.68782,1.82912,19.2878,13.1258
3,23,1.51621,1.49054,3.10391,-3.10391,0.686944,1.09679,4.92951,7.87059
3,24,4.05565,8.05914,-44.0324,44.0324,1.20891,2.41064,8.67517,17.2988
3,25,4.38416,9.89887,-57.2343,57.2343,1.81866,3.77193,13.0507,27.0673
3,26,1.35046,1.05899,6.20068,-6.20068,0.908005,0.743593,6.51584,5.33603
3,27,4.91833,11.4731,-68.5312,68.5312,2.03798,1.41179,14.6246,10.131
3,28,0.231564,0.3265,11.457,-11.457,0.29012,0.10459,2.0819,0.750536
3,29,3.31617,6.71152,-34.3618,34.3618,1.3397,0.922315,9.61369,6.61853
3,30,2.67803,5.24293,-23.8233,23.8233,1.21516,3.28509,8.72002,23.5738
3,31,0.574991,3.88843,-14.1034,14.1034,0.589059,0.86765,4.22709,6.22626
3,32,3.05424,12.7144,-77.4384,77.4384,2.1787,3.31421,15.6343,23.7828
3,33,0.760044,0.119734,12.9408,-12.9408,0.452666,6.05263,3.24833,43.4337
3,34,7.32063,16.23,-102.666,102.666,3.43119,1.03982,24.6222,7.46173
3,35,2.7465,1.93113,-0.0577991,0.0577991,0.86318,0.758349,6.19418,5.44191
3,36,0.39021,1.18371,5.3057,-5.3057,0.205393,0.223388,1.4739,1.60303
3,37,2.19047,3.26177,-9.60643,9.60643,1.22812,0.979692,8.81297,7.03027
3,38,2.48729,1.89293,0.216341,-0.216341,0.601993,1.69172,4.3199,12.1398
3,39,0.930495,0.578133,9.65132,-9.65132,0.228263,0.421046,1.63802,3.02142
3,40,2.1854,15.7468,-99.1987,99.1987,1.63606,1.4905,11.7403,10.6958
3,41,4.11125,2.46205,-3.86764,3.86764,1.09943,1.07675,7.88948,7.72674
3,42,4.19845,7.89227,-42.835,42.835,1.40288,0.706316,10.0671,5.06852
3,43,0,0,13.8,-13.8,0,0.331024,0,2.37543
3,44,1.27255,3.78346,-13.3501,13.3501,0.850848,0.314455,6.10569,2.25653
3,45,3.41005,7.11599,-37.2643,37.2643,1.4408,1.22146,10.3392,8.76516
3,46,2.15966,6.54585,-33.173,33.173,0.751076,0.979313,5.38972,7.02755
3,47,2.79626,5.41553,-25.0619,25.0619,0.56691,1.00983,4.06815,7.24656
3,48,0.954292,5.2212,-23.6673,23.6673,0.269002,0.669252,1.93036,4.80255
3,49,1.19317,0.0497984,13.4426,-13.4426,0.411857,1.29341,2.95549,9.2815
3,50,1.49218,0,13.8,-13.8,0.177253,0.456197,1.27197,3.27367
3,51,7.46653,17.5986,-112.488,112.488,2.06529,7.64357,14.8205,54.8503
3,52,3.57234,1.25513,4.79318,-4.79318,1.11634,1.02878,8.01089,7.38252
3,53,0.845459,2.82731,-6.48875,6.48875,1.0324,4.36664,7.40847,31.335
3,54,0.548472,1.40593,3.71107,-3.71107,0.484909,0.654127,3.47971,4.69401
3,55,4.92066,9.59541,-55.0567,55.0567,1.32054,0.671254,9.47619,4.81692
3,56,1.37466,1.04877,6.274,-6.274,0.741949,1.19818,5.32422,8.59811
3,57,4.6724,2.75428,-5.96468,5.96468,0.612301,0.64635,4.39387,4.6382
3,58,1.43868,3.74205,-13.053,13.053,1.80423,5.58304,12.9471,40.0639
3,59,2.17031,7.13321,-37.3879,37.3879,2.03623,2.03369,14.612,14.5938
3,60,3.56243,11.8367,-71.1404,71.1404,0.951809,2.38205,6.83018,17.0936
3,61,5.8599,13.0231,-79.6539,79.6539,2.03329,3.70493,14.5909,26.5866
3,62,4.74737,3.43112,-10.8217,10.8217,1.60942,1.70736,11.5492,12.252
3,63,0,0,13.8,-13.8,0,0.631385,0,4.53082
3,64,2.48292,3.73864,-13.0285,13.0285,1.43633,1.6403,10.3071,11.7708
3,65,3.22867,4.48912,-18.414,18.414,0.909069,0.871955,6.52348,6.25715
3,66,6.23193,9.79683,-56.5021,56.5021,2.0498,1.62056,14.7093,11.6292
3,67,0,3.78674,-13.3736,13.3736,0.455764,0.736741,3.27056,5.28685
3,68,0.893464,0.432627,10.6955,-10.6955,0.382032,1.09903,2.74146,7.88661
3,69,0.381781,3.83398,-13.7126,13.7126,0.470238,0.583326,3.37443,4.18594
3,70,2.20158,8.72409,-48.8041,48.8041,1.02087,0.806086,7.32575,5.78448
3,71,1.24353,3.16142,-8.88636,8.88636,1.13136,1.20812,8.11864,8.66949
3,72,1.79033,5.43814,-25.2241,25.2241,1.15105,2.36046,8.25992,16.9386
3,73,4.62568,8.51152,-47.2787,47.2787,0.964444,1.11866,6.92085,8.02749
3,74,2.2255,3.23543,-9.41748,9.41748,0.90346,0.688007,6.48323,4.93714
3,75,2.94511,4.07903,-15.4711,15.4711,1.12515,1.02708,8.07407,7.3703
3,76,0,0,13.8,-13.8,0.0725681,1.12926,0.520748,8.10354
3,77,2.32823,3.86141,-13.9094,13.9094,1.06744,1.03399,7.65997,7.41988
3,78,2.58773,4.71237,-20.016,20.016,1.3707,1.81921,9.83612,13.0547
3,79,0.764341,0.458521,10.5097,-10.5097,0.338978,0.41779,2.43251,2.99806
3,80,2.28552,2.42435,-3.59713,3.59713,1.08544,1.2421,7.78913,8.91334
3,81,2.37968,4.08571,-15.5191,15.5191,1.07716,1.86454,7.72973,13.3799
3,82,3.58626,4.44716,-18.1128,18.1128,0.692462,0.797603,4.9691,5.7236
3,83,0.931922,0,13.8,-13.8,0.0214467,0.77527,0.153902,5.56333
3,84,3.92626,3.84034,-13.7582,13.7582,1.11637,0.720122,8.01109,5.16759
3,85,1.78354,1.95824,-0.25231,0.25231,0.579943,0.148435,4.16167,1.06517
3,86,2.56563,2.77231,-6.09408,6.09408,1.32715,0.92228,9.52363,6.61828
3,87,1.96576,6.67679,-34.1126,34.1126,0.792019,0.500182,5.68353,3.58931
3,88,4.37151,9.11434,-51.6045,51.6045,0.918116,0.657696,6.5884,4.71963
3,89,0.915518,4.08797,-15.5352,15.5352,0.970891,0.730376,6.96711,5.24118
3,90,1.15664,0.302724,11.6277,-11.6277,0.152821,1.67029,1.09664,11.986
3,91,4.09217,10.9464,-64.7513,64.7513,1.13365,2.14509,8.13504,15.3932
3,92,2.96676,4.04829,-15.2505,15.2505,0.984442,7.31293,7.06436,52.4776
3,93,4.80431,4.06882,-15.3979,15.3979,1.80283,1.26906,12.9371,9.10677
3,94,4.69495,3.60917,-12.0994,12.0994,1.50022,1.6871,10.7656,12.1066
3,95,4.24699,2.66004,-5.28842,5.28842,0.77912,0.521764,5.59096,3.74418
3,96,0,0,13.8,-13.8,0.0740768,0.656683,0.531575,4.71236
3,97,1.49644,1.08402,6.02105,-6.02105,0.67666,0.336703,4.85571,2.41618
3,98,1.20284,2.99807,-7.71417,7.71417,0.745549,0.561393,5.35006,4.02855
3,99,0.968121,8.84484,-49.6706,49.6706,1.93674,2.99032,13.898,21.4586
