Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,11.5824,1.04605,6.29353,-6.29353,0.228848,0.877642,1.64221,6.29796
1,20.2165,1.90171,0.153338,-0.153338,0.0932153,0.785015,0.668913,5.63327
2,13.0442,1.05445,6.23325,-6.23325,0.161558,0.79627,1.15934,5.71403
3,22.231,1.47888,3.18753,-3.18753,0.268016,1.7033,1.92329,12.2229
4,26.6154,1.57254,2.51548,-2.51548,0.446783,2.22608,3.20611,15.9744
5,19.5094,1.76409,1.1409,-1.1409,0.208109,0.952221,1.49339,6.83314
6,20.7741,1.46903,3.25825,-3.25825,0.0501347,0.621491,0.359767,4.45982
7,21.505,1.64897,1.96699,-1.96699,0.124835,1.24055,0.895813,8.90218
8,16.721,1.40633,3.70818,-3.70818,0.15491,0.96354,1.11163,6.91436
9,21.4143,2.26182,-2.4308,2.4308,0.440596,1.35003,3.16171,9.68782
10,19.4679,1.1934,5.23618,-5.23618,0.0158363,0.394794,0.113641,2.83304
11,22.7035,1.29146,4.53245,-4.53245,0.146645,0.767848,1.05232,5.51008
12,22.3489,1.46612,3.27909,-3.27909,0.0127121,0.664752,0.0912221,4.77026
13,24.0325,2.51891,-4.27567,4.27567,0.293608,1.60494,2.10693,11.5171
14,15.9108,1.27278,4.66656,-4.66656,0.0593651,0.795019,0.426004,5.70505
15,33.4343,2.97671,-7.56087,7.56087,0.133067,1.14123,0.954887,8.18948
16,15.5588,1.72754,1.40314,-1.40314,0.152764,1.01816,1.09624,7.3063
17,26.0993,2.39528,-3.38853,3.38853,0.23903,1.06852,1.71528,7.66773
18,21.3483,1.61325,2.22334,-2.22334,0.0129729,0.311703,0.0930937,2.23678
19,16.6369,1.28522,4.57724,-4.57724,0.134282,0.796706,0.96361,5.71716
20,18.2358,1.36329,4.01706,-4.01706,0.0921342,1.15322,0.661155,8.27548
21,18.7139,1.67577,1.77468,-1.77468,0.171017,1.57577,1.22722,11.3077
22,16.209,1.01749,6.49848,-6.49848,0.312775,1.5399,2.24447,11.0503
23,14.4967,1.34481,4.14961,-4.14961,0.118375,1.20997,0.849456,8.68272
24,15.382,1.29962,4.47391,-4.47391,0.113288,0.702112,0.812958,5.03836
25,25.2789,2.50308,-4.16209,4.16209,0.3296,1.50816,2.36521,10.8225
26,18.45,1.82561,0.699405,-0.699405,0.245709,0.863738,1.76321,6.19819
27,23.163,1.41634,3.63632,-3.63632,0.349993,1.35831,2.51155,9.74726
28,16.2908,1.42009,3.60942,-3.60942,0.078001,0.697206,0.559735,5.00315
29,26.0984,1.98578,-0.449942,0.449942,0.201948,1.96399,1.44918,14.0936
30,22.9439,1.86905,0.387704,-0.387704,0.339824,1.66085,2.43858,11.9183
31,16.4946,0.955535,6.94308,-6.94308,0.0978238,1.5315,0.701984,10.99
32,23.7106,2.41796,-3.55125,3.55125,0.329923,1.47762,2.36753,10.6034
33,24.8016,1.96417,-0.294855,0.294855,0.121539,1.13697,0.872162,8.15891
34,10.1078,1.48994,3.10816,-3.10816,0.125007,0.782375,0.897052,5.61432
35,19.6332,1.47007,3.25075,-3.25075,0.167141,1.11101,1.1994,7.97262
36,12.6755,0.872211,7.54101,-7.54101,0.0154948,0.586434,0.11119,4.20825
37,15.6285,1.33133,4.24638,-4.24638,0.26181,0.878527,1.87875,6.30431
38,28.0619,1.96048,-0.268425,0.268425,0.168012,1.14018,1.20566,8.18194
39,12.077,1.08736,5.99707,-5.99707,0.0748807,0.507195,0.537344,3.63963
40,19.9787,1.39236,3.80841,-3.80841,0.266719,1.68307,1.91397,12.0777
41,13.7594,1.20671,5.14063,-5.14063,0.115538,0.625402,0.829101,4.48789
42,14.7168,0.98289,6.74678,-6.74678,0.200989,0.963006,1.4423,6.91053
43,18.6679,1.34898,4.11973,-4.11973,0.0584206,0.699745,0.419226,5.02137
