Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,0,0,13.8,-13.8,0.15055,0.522353,1.08035,3.7484
1,0,0,13.8,-13.8,0.0195302,0.149684,0.140148,1.07413
2,0,0,13.8,-13.8,0,0.107702,0,0.772869
3,0,0,13.8,-13.8,0.0131735,0.0830565,0.0945331,0.596014
4,0,0,13.8,-13.8,0.0484547,0.116829,0.347711,0.838362
5,0,0,13.8,-13.8,0.00881638,0.0660675,0.0632664,0.4741
6,0,0,13.8,-13.8,0.0241696,0.0698336,0.173441,0.501126
7,0,0,13.8,-13.8,0.043133,0.378453,0.309523,2.71578
8,0,0,13.8,-13.8,0.00997136,0.109213,0.0715545,0.783716
9,0,0,13.8,-13.8,0.183477,0.25599,1.31663,1.83699
10,0,0,13.8,-13.8,0.0108433,0.101444,0.0778119,0.727959
11,0,0,13.8,-13.8,0,0.049813,0,0.357458
12,0,0,13.8,-13.8,0,0.244175,0,1.7522
13,0,0,13.8,-13.8,0.0377445,0.245068,0.270854,1.75861
14,0,0,13.8,-13.8,0.0318376,0.0409239,0.228467,0.29367
15,0,0,13.8,-13.8,0.057367,0.312193,0.411666,2.2403
16,0,0,13.8,-13.8,0.0664223,0.278171,0.476647,1.99616
17,0,0,13.8,-13.8,0.195966,0.350135,1.40625,2.51257
18,0,0,13.8,-13.8,0.0129729,0.0610009,0.0930937,0.437742
19,0,0,13.8,-13.8,0.121814,0.0199145,0.874137,0.142907
20,0,0,13.8,-13.8,0.00081287,0.180587,0.00583315,1.29589
21,0,0,13.8,-13.8,0.0442495,0.687958,0.317535,4.93678
22,0,0,13.8,-13.8,0.13744,0.53186,0.986268,3.81663
23,0,0,13.8,-13.8,0,0.184789,0,1.32605
24,0,0,13.8,-13.8,0.0625512,0.0960946,0.448867,0.689575
25,0,0,13.8,-13.8,0.130412,0.316508,0.935833,2.27126
26,0,0,13.8,-13.8,0.17968,0.160673,1.28938,1.15299
27,0,0,13.8,-13.8,0.149935,0.133121,1.07593,0.955273
28,0,0,13.8,-13.8,0.0423842,0.0547207,0.304149,0.392676
