Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.79308,0.543527,9.89965,-9.89965,0.15055,0.643406,1.08035,4.61708
1,4.32454,0.106407,13.0364,-13.0364,0.0241129,0.355546,0.173034,2.5514
2,2.06915,0.292527,11.7008,-11.7008,0,0.178822,0,1.28323
3,4.74541,0.386065,11.0296,-11.0296,0.0131735,0.166525,0.0945333,1.19498
4,8.03408,1.18337,5.30812,-5.30812,0.0951458,0.563868,0.682766,4.04632
5,2.38305,0.240612,12.0734,-12.0734,0.0193145,0.176705,0.138601,1.26803
6,5.62333,0.392461,10.9837,-10.9837,0.0443396,0.384376,0.318181,2.75828
7,3.40697,0.467066,10.4483,-10.4483,0.064994,0.572132,0.466397,4.10562
8,4.98294,0.62179,9.33804,-9.33804,0.0639137,0.347529,0.458645,2.49386
9,9.50089,1.00851,6.56293,-6.56293,0.198608,0.614876,1.42521,4.41235
10,5.91191,0.585034,9.60179,-9.60179,0.0347826,0.162925,0.2496,1.16915
11,4.8466,0.619298,9.35592,-9.35592,0.037111,0.149806,0.266308,1.075
12,7.16205,0.605722,9.45334,-9.45334,0,0.308226,0,2.21183
13,8.26185,0.899526,7.345,-7.345,0.125289,0.694214,0.899071,4.98168
14,5.4774,0.413971,10.8293,-10.8293,0.032333,0.287486,0.232021,2.063
15,11.9436,1.00497,6.58835,-6.58835,0.0541051,0.587179,0.388259,4.2136
16,4.99463,0.584393,9.60639,-9.60639,0.0524732,0.335095,0.376548,2.40464
17,11.9072,1.45629,3.34964,-3.34964,0.159072,0.692921,1.1415,4.9724
18,6.29308,0.424884,10.751,-10.751,0.0129729,0.174944,0.0930937,1.2554
19,5.03318,0.663547,9.03839,-9.03839,0.0848143,0.0718177,0.608627,0.515364
20,2.98659,0.431264,10.7052,-10.7052,0.0270348,0.381488,0.194002,2.73755
21,4.32736,0.543586,9.89923,-9.89923,0.0599716,0.708777,0.430356,5.08618
22,3.79581,0.747907,8.43302,-8.43302,0.183452,0.658171,1.31645,4.72303
23,2.42899,0.229881,12.1504,-12.1504,0.0135409,0.428036,0.0971693,3.07159
24,3.92018,0.471083,10.4195,-10.4195,0.0526397,0.189683,0.377742,1.36117
25,7.96626,1.07041,6.11872,-6.11872,0.155946,0.725535,1.11907,5.20644
26,8.55572,1.80522,0.84575,-0.84575,0.123408,0.291085,0.885574,2.08883
27,6.67963,0.605562,9.45449,-9.45449,0.11533,0.278013,0.827607,1.99502
28,4.71157,0.422103,10.771,-10.771,0.0485701,0.313493,0.348539,2.24963
29,6.80656,0.871594,7.54544,-7.54544,0.0738402,0.749596,0.529877,5.3791
30,3.46497,0.567125,9.73031,-9.73031,0.0144446,0.448905,0.103654,3.22134
31,5.217,0.49504,10.2476,-10.2476,0.0651363,0.834836,0.467418,5.99078
32,6.52051,0.694561,8.81583,-8.81583,0.166911,0.212291,1.19775,1.5234
33,5.26569,0.426661,10.7383,-10.7383,0.0311584,0.368143,0.223593,2.64179
34,3.24061,0.510666,10.1355,-10.1355,0.00711376,0.156283,0.0510484,1.12148
35,5.7522,0.446381,10.5968,-10.5968,0.0413799,0.306155,0.296942,2.19697
36,3.68029,0.332999,11.4104,-11.4104,0.0033057,0.0884628,0.0237217,0.634809
37,7.14116,1.0362,6.36425,-6.36425,0.229882,0.692649,1.64963,4.97045
38,9.92101,1.21635,5.07147,-5.07147,0.146012,0.600802,1.04778,4.31135
39,2.43154,0.349586,11.2914,-11.2914,0.0536554,0.0730397,0.385031,0.524133
40,3.5886,0.32012,11.5028,-11.5028,0.0285942,0.351644,0.205192,2.52339
41,3.27192,0.460031,10.4988,-10.4988,0.0678932,0.172086,0.487202,1.23489
42,3.41423,0.501305,10.2026,-10.2026,0.162442,0.495056,1.16568,3.55252
43,5.77293,0.493206,10.2608,-10.2608,0.0507906,0.100563,0.364473,0.721641
44,1.91797,0.265426,11.8953,-11.8953,0.0355461,0.412698,0.255079,2.96152
45,6.32929,0.505243,10.1744,-10.1744,0.073077,0.253822,0.524401,1.82142
46,3.05089,0.26513,11.8974,-11.8974,0.070578,0.199698,0.506468,1.43303
47,5.50784,0.355535,11.2487,-11.2487,0.00421449,0.135545,0.0302432,0.97267
48,3.03304,0.268084,11.8762,-11.8762,0.00712529,0.147261,0.0511311,1.05674
49,1.94351,0.288567,11.7292,-11.7292,0.0353902,0.292348,0.25396,2.09789
50,3.45898,0.23457,12.1167,-12.1167,0.0558827,0.226418,0.401014,1.62478
51,2.27182,0.305734,11.6061,-11.6061,0.151871,0.52386,1.08983,3.75922
52,5.91485,0.920429,7.195,-7.195,0.0525274,0.156092,0.376936,1.12011
53,5.68678,0.603102,9.47214,-9.47214,0.00765357,0.451036,0.054922,3.23663
54,8.62722,0.794518,8.09854,-8.09854,0.0735274,0.313005,0.527632,2.24613
55,11.5183,1.11903,5.76982,-5.76982,0.0743396,0.277936,0.533461,1.99447
56,2.40858,0.102798,13.0623,-13.0623,0.0666654,0.31144,0.478391,2.23489
57,2.27135,0.106171,13.0381,-13.0381,0.000460575,0.217732,0.00330508,1.56244
58,5.44248,0.654361,9.10431,-9.10431,0.189814,0.881823,1.3621,6.32796
59,8.12619,0.835775,7.80248,-7.80248,0.106431,0.38177,0.763748,2.73958
60,5.38353,0.515623,10.0999,-10.0999,0.0143486,0.204937,0.102966,1.47063
61,7.06694,0.601794,9.48152,-9.48152,0.117812,0.299116,0.84542,2.14646
62,1.05767,0.067824,13.3133,-13.3133,0.0145803,0.212637,0.104628,1.52588
63,7.75261,0.897985,7.35606,-7.35606,0.0347697,0.156523,0.249507,1.12321
64,1.20189,0.220233,12.2196,-12.2196,0.0352647,0.456373,0.25306,3.27493
65,3.00145,0.276747,11.8141,-11.8141,0.00275077,0.307254,0.0197395,2.20485
66,2.52847,0.261503,11.9235,-11.9235,0.0542704,0.54891,0.389444,3.93897
67,3.07148,0.163936,12.6236,-12.6236,0,0.315428,0,2.26351
68,6.34972,0.45394,10.5425,-10.5425,0.0427658,0.35108,0.306888,2.51935
69,7.35974,0.796024,8.08774,-8.08774,0.0325384,0.355814,0.233496,2.55332
70,5.99797,0.654861,9.10072,-9.10072,0.0426884,0.670613,0.306332,4.81232
71,6.52648,1.14762,5.56471,-5.56471,0.053815,0.657555,0.386176,4.71861
72,3.81084,0.36994,11.1453,-11.1453,0.0427476,0.155979,0.306756,1.11931
73,5.41907,0.961673,6.89903,-6.89903,0.0262163,0.143097,0.188128,1.02687
74,5.08633,0.435609,10.6741,-10.6741,0.0981763,0.160877,0.704513,1.15445
75,2.79058,0.416955,10.8079,-10.8079,0.124226,0.373783,0.891446,2.68226
76,4.64126,0.671322,8.9826,-8.9826,0,0.115268,0,0.82716
77,2.63802,0.469334,10.4321,-10.4321,0,0.207519,0,1.48915
78,4.3071,0.281047,11.7832,-11.7832,0.00112735,0.267113,0.00808989,1.9168
79,5.8483,0.65802,9.07805,-9.07805,0.026357,0.217335,0.189138,1.5596
80,8.5543,0.808217,8.00023,-8.00023,0.104442,0.217369,0.749476,1.55984
81,11.104,1.04508,6.3005,-6.3005,0.107018,0.274536,0.767959,1.97007
82,6.67932,0.806414,8.01317,-8.01317,0.00797397,0.532583,0.0572212,3.82181
83,6.01537,0.593897,9.53819,-9.53819,0.101936,0.232479,0.731491,1.66827
84,1.48166,0.224354,12.19,-12.19,0.012864,0.279881,0.0923124,2.00842
85,5.94642,0.819639,7.91827,-7.91827,0.0875058,0.194623,0.627942,1.39661
86,2.5075,0.357109,11.2374,-11.2374,0,0.0498781,0,0.357925
87,4.06158,0.274833,11.8278,-11.8278,0.00660339,0.217748,0.0473859,1.56256
88,2.72878,0.238676,12.0873,-12.0873,0.0209343,0.116877,0.150224,0.838712
89,4.71975,0.509057,10.147,-10.147,0.00483777,0.162588,0.0347158,1.16673
90,3.463,0.434673,10.6808,-10.6808,0.0423457,0.0480353,0.303873,0.344702
91,9.464,0.776554,8.22745,-8.22745,0.0495359,0.512376,0.355469,3.67681
92,2.77491,0.237406,12.0964,-12.0964,0.102265,0.460239,0.733855,3.30268
93,6.79825,0.871435,7.54658,-7.54658,0.0814716,0.215412,0.584641,1.54579
94,6.85938,0.653118,9.11322,-9.11322,0.0764647,0.557936,0.54871,4.00375
95,2.65215,0.283577,11.7651,-11.7651,0,0.143254,0,1.02799
96,8.52589,0.615749,9.38139,-9.38139,0.0596151,0.486964,0.427798,3.49445
97,2.88893,0.303436,11.6225,-11.6225,0.105491,0.0875241,0.757001,0.628073
98,2.85142,0.283287,11.7671,-11.7671,0,0.176779,0,1.26856
99,2.49234,0.55014,9.8522,-9.8522,0.121373,0.462796,0.870971,3.32103
