Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.83685,0.582232,9.6219,-9.6219,0.201574,1.51837,1.44649,10.8958
1,4.32454,0.136094,12.8234,-12.8234,0.0325347,1.17909,0.233469,8.46112
2,2.06915,0.292527,11.7008,-11.7008,0.0165301,0.358249,0.11862,2.5708
3,4.77768,0.360219,11.2151,-11.2151,0.049712,1.67298,0.356733,12.0053
4,8.15317,1.15242,5.53025,-5.53025,0.257954,2.75686,1.85108,19.7833
5,2.65908,0.263037,11.9124,-11.9124,0.0786144,1.64952,0.564137,11.8369
6,5.67907,0.411367,10.848,-10.848,0.070839,0.86056,0.508341,6.17538
7,3.61317,0.570935,9.70297,-9.70297,0.130173,2.50275,0.934125,17.9597
8,5.13773,0.817761,7.93174,-7.93174,0.201037,1.63462,1.44264,11.73
9,9.53055,1.02912,6.41506,-6.41506,0.487156,1.27011,3.49583,9.11432
10,5.92032,0.585034,9.60179,-9.60179,0.1216,0.554831,0.872604,3.98147
11,5.18645,0.55856,9.79178,-9.79178,0.0997829,1.47812,0.716042,10.607
12,7.18678,0.605722,9.45334,-9.45334,0.0473346,0.773534,0.339673,5.55088
13,8.44416,0.922658,7.179,-7.179,0.245221,2.38067,1.75971,17.0837
14,5.85521,0.492139,10.2684,-10.2684,0.0501551,1.66765,0.359913,11.967
15,12.1432,1.02883,6.41712,-6.41712,0.0861912,1.81376,0.618508,13.0155
16,5.2155,0.682206,8.90449,-8.90449,0.161742,1.33128,1.16066,9.55326
17,12.0417,1.55628,2.63211,-2.63211,0.841093,2.16025,6.03568,15.502
18,6.35199,0.424884,10.751,-10.751,0.0129729,0.430442,0.0930937,3.08885
19,5.03735,0.663547,9.03839,-9.03839,0.121924,0.136775,0.874925,0.981497
20,2.99562,0.431264,10.7052,-10.7052,0.100786,1.40687,0.723239,10.0957
21,4.54115,0.571887,9.69614,-9.69614,0.263906,2.77647,1.89379,19.924
22,4.05083,0.857513,7.64648,-7.64648,0.274569,2.59343,1.97031,18.6105
23,2.41079,0.229881,12.1504,-12.1504,0.0887788,0.838236,0.637076,6.01518
24,3.95944,0.524169,10.0386,-10.0386,0.0591854,0.379837,0.424715,2.72571
25,8.87896,1.437,3.48809,-3.48809,0.520381,1.86497,3.73426,13.3831
26,8.73791,1.80074,0.877909,-0.877909,0.169285,1.64466,1.21479,11.8021
27,6.79726,0.583938,9.60966,-9.60966,0.196593,1.16538,1.41075,8.36273
28,4.70837,0.422103,10.771,-10.771,0.14689,0.475655,1.05408,3.4133
29,6.71668,0.939742,7.05641,-7.05641,0.214655,2.47145,1.54036,17.7351
