Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.57181,0.563625,9.75543,-9.75543,0.208018,0.782381,1.49274,5.61437
1,4.52988,0.181373,12.4985,-12.4985,0.0187397,0.399553,0.134476,2.86719
2,2.87165,0.41032,10.8555,-10.8555,0,0.145822,0,1.04642
3,5.77913,0.401391,10.9196,-10.9196,0.032789,0.31043,0.235294,2.22765
4,8.75882,1.00117,6.61558,-6.61558,0.125821,0.620673,0.902891,4.45395
5,3.3954,0.331626,11.4203,-11.4203,0.0229393,0.316583,0.164612,2.2718
6,7.83451,0.39299,10.9799,-10.9799,0.0680011,0.713301,0.487976,5.11865
7,3.76407,0.49213,10.2685,-10.2685,0.0545292,0.621921,0.391301,4.46291
8,6.43999,0.619923,9.35144,-9.35144,0.102771,0.55226,0.737485,3.96302
9,12.309,1.20624,5.14403,-5.14403,0.406203,0.76079,2.91491,5.45943
10,6.19805,0.819174,7.92161,-7.92161,0.108002,0.201347,0.77502,1.44486
11,6.11545,0.858722,7.63781,-7.63781,0.0674726,0.235764,0.484183,1.69184
12,8.03662,0.563358,9.75735,-9.75735,0.0107735,0.452413,0.0773103,3.24651
13,10.8976,1.41744,3.62845,-3.62845,0.164258,0.828287,1.17872,5.94379
14,6.93156,0.563945,9.75313,-9.75313,0.034942,0.481438,0.250744,3.4548
15,12.533,0.925488,7.1587,-7.1587,0.0634053,0.851567,0.454996,6.11085
16,6.34714,0.601804,9.48145,-9.48145,0.063903,0.566834,0.458568,4.0676
17,16.5146,1.82736,0.686875,-0.686875,0.238578,0.691615,1.71203,4.96303
18,8.6715,0.363938,11.1884,-11.1884,0.0129729,0.259415,0.0930937,1.86156
